Constant Volatility,Normal Volatility,Poisson Volatility,Exponential Volatility
51.23450474417436,51.234511464137185,51.23450439929172,51.23450439858337
50.24934361714661,50.24934314929147,50.24937186988021,50.25211804058013
49.2641829009846,49.26422797587953,49.26423187752003,49.264181343980674
48.27902296573776,48.28034774755695,48.279019832491265,48.27901981667933
47.293864469759825,47.29385969253941,47.2938583300861,47.29385828937799
46.30870854987463,46.308699648631496,46.30870854987463,46.308696762076636
45.32355711402598,45.32800741170984,45.32609096708971,45.32353523477529
44.3384132785332,44.33918032159159,44.34202378048783,44.33837370747394
43.35328200305675,43.353217193103525,43.35328200305675,43.353212180172804
42.36817098761962,42.368982784495,42.36805323334838,42.368050652871254
41.383091906438985,41.382908902433755,41.383091906438985,41.38288936834724
40.3980620615043,40.3977640451552,40.3980620615043,40.39772759826856
39.413106543175225,39.413833004882626,39.412566140138786,39.412830766243395
38.42826098386734,38.42740454368662,38.49059270657831,38.427404543665865
37.44357498254822,37.44224301920059,37.44224347077139,37.44224301636452
36.45911626099701,36.457301914895936,36.497236697820924,36.46065856594206
35.47497558683611,35.47195107748924,35.488131631096564,35.47191996176183
34.49127246319006,34.497029360475594,34.49127246319006,34.486758434460484
33.50816154128846,33.5017986840175,33.502249390958255,33.50159690715914
32.525839662144364,32.5164490787749,32.525839662144364,32.51650719601797
31.544553379216936,31.681659850519964,31.532985088318924,31.531273867865167
30.564606759051827,30.556717870026432,30.853967964220132,30.546130078061623
29.58636920513908,29.590266223292474,29.565095078407623,29.56095079795375
28.610283005682987,28.575991732046006,29.004205336427205,28.575789270652407
27.636870272558554,27.603893325155965,27.636870272558554,27.59062774335105
26.66673891984891,26.679788558320467,26.605473929210845,26.605466216049706
25.700587328625318,25.624418792580613,26.024786518377,25.620306109347695
24.73920736158287,24.813270066857157,24.63518703579814,24.63514316144702
23.78348542708065,23.695004491084475,24.541838995425394,23.649981634154116
22.83440134606157,22.773429537204905,22.71821442686617,23.044825435249066
21.893024845003808,21.761955166422098,22.125305537842237,21.679658579542973
20.960509580154323,21.903958565329347,20.960509580154323,20.694499584893094
20.03808468863295,20.03300427370999,20.72603980572265,19.785650003265076
19.127043955854816,18.80522474818629,21.521870620955248,18.724173999331228
18.22873278115972,18.706226979959382,18.60532094207106,17.743189308874946
17.34453320976722,16.861899657432346,16.838326993769527,17.325990449364284
16.47584737483524,16.609831583792158,16.47584737483524,18.039074099608698
15.624079754850285,14.814454815821975,14.810182384939608,14.783527888433554
14.790618696089282,14.015952230252822,13.840829330157803,15.839701218044908
13.976817675764622,14.142047301255076,13.477489563497741,12.815962646931894
13.1839767880833,13.88230072713651,13.811151758973025,11.828043306930326
12.413324923233631,12.579327033807104,11.32447524689502,10.848149535411395
11.666003079635388,11.548918936541668,13.120836119297778,16.11329698638294
10.943049204814344,10.622741323768238,10.943049204814344,8.918559682199174
10.245384902762368,8.712690787347157,8.298691792561954,7.888789337470442
9.57380427880743,8.737210984812009,10.384547779581197,7.463862906866339
8.928965120205547,8.362884492769417,7.344306745356846,5.917507908736212
8.311382535265977,9.689070948286151,10.936785917652735,4.931912615420089
7.721425099011995,8.177781458758567,7.721425099011995,3.946754944940082
7.159313482048098,4.810151819058184,5.371571807215076,2.9618419266712124
6.625121473881009,7.072329454455257,4.793999217137653,1.996840207747141
6.118779254373095,5.5810316518901715,3.3298087145608903,1.0888776777551925
5.640078718688343,4.6873307202153995,5.640078718688343,2.8912220565482656
5.188680622886004,6.051357601723225,4.248442463057572,0.20854958726944517
4.7641232895735115,6.216875816819709,5.703197194410535,0.4716126579510309
4.365832595630138,5.671879452967019,6.237586268132318,5.1249635885086775
3.9931329564450735,2.84420935431271,2.1830407238640603,0.5095553692928547
3.6452590225403014,3.226553530285777,1.0714723314138865,1.308698225610879
3.3213678137941827,3.7658125497106596,5.134762104775113,2.6169936343953476e-06
3.020551032507111,4.31768015079502,4.803632738479628,1.6571607055952762e-06
2.7418473179327023,2.14686005875204,1.1679997102798723,8.619689230049963e-148
2.4842542302935158,2.2586097939961363,0.4132176319157761,8.754742912680798e-12
2.2467397804071823,1.0412006147096164,1.4916015426060625,1.2831858841801536e-05
2.0282533506497487,0.808705228499786,1.3085524789277372,7.819613952605532e-15
1.8277358829818127,2.7604208444972507,1.1447149537983563,1.5546528480347496e-66
1.6441292392096365,3.18995375732295,3.990993460221979,1.6052859481352884e-41
1.4763846667559513,1.4057005937918987,3.7508858776625082,0.002068634207471415
1.3234703293440013,2.359079160754142,2.732484260565851,3.4586246550107263e-18
1.1843778856880807,1.5194808022886797,2.5370824560987835,1.7105072306445668e-06
1.058128120214528,0.5765648886789343,0.038491257896346776,0.0012941269974241915
0.9437756478329877,1.2434120410730287,0.48423767677776475,0.08302031266691134
0.8404127297785688,2.2317010999479017,2.0214692176305995,0.0
0.7471722495964812,0.7227724524476482,1.8712432860286548,0.3004538750637362
0.6632299075697752,1.9525077222022276,0.08929897131497988,0.008426857832082857
0.5878056984894435,3.535000478858963e-05,1.0425714042973517,6.20761527136633e-234
0.52016474187322,1.0616198345948948,0.52016474187322,0.5976662322702371
0.45961753582493436,0.50487680393476,0.18660695286918472,1.1555444091088685
0.4055197059738598,0.2784622066730549,0.15784405407736424,0.0
0.35727131963498326,0.39789179819953624,0.13320630391573607,3.315143530185272e-24
0.3143158327670559,0.000964552526410499,1.5946298581033602,0.10148381356855829
0.2761387337471817,0.20335066793208822,0.5750682972664682,0.022252092712564564
0.242265943677479,0.3763627650483956,0.012690643350224462,2.7285191799651497e-69
